produto_1,id_1,produto_2,id_2,similaridade
Radar Furuno Swift,35,Cabo de Nylon Delta Force Magnum Leviathan,115,0.8783100656536802
Rádio Lowrance Nitro Thrust Barracuda,25,Piloto Automático Furuno Core Boost Flux,26,0.8780487804878054
GPS AIS Zen,8,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.877471368486826
GPS Furuno Swift Leviathan Poseidon,11,Transponder AIS Helix Torque,34,0.877471368486826
Sonda AIS Impulse Oceanic Zenith,32,Âncora Delta Swift,103,0.877471368486826
Motor Diesel Tohatsu Evo Zenith 16HP,51,Cabo de Nylon Delta Velocity Oceanic Abyss,116,0.877471368486826
Motor Diesel Tohatsu Evo Zenith 16HP,51,Motor Diesel Yanmar Hydro Magnum Boost 267HP,59,0.877471368486826
Âncora Delta Swift,103,Cabo de Nylon Bruce Core,149,0.877471368486826
Corrente Delta Axis,124,Âncora Delta Storm Vox,134,0.8767945989619051
GPS Furuno Swift Leviathan Poseidon,11,Âncora Delta Hydra Kraken Velocity,143,0.8764167457849941
Motor Diesel Parsun Velocity Abyss Orca 235HP,98,Boia de Arqueamento Delta Force Vox,118,0.8752735657406225
Motor de Popa Torqeedo Nautic Swift 223HP,65,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8752735657406225
GPS Simrad Zen Hydra Peak,44,Motor de Popa Honda Torque 228HP,74,0.8752735657406225
Piloto Automático AIS Core,28,Cabo de Nylon Danforth Titan Poseidon,135,0.8720815992723816
Cabo de Nylon Delta Force Magnum Leviathan,115,Boia de Arqueamento Delta Zen Boost Vortex,130,0.8720815992723816
Transponder AIS Maré Magnum,1,Corrente Danforth Force Leviathan Impulse,147,0.8720815992723816
Transponder AIS Vector,6,Piloto Automático AIS Core,28,0.8720815992723816
Radar Furuno Swift,35,Âncora Delta Swift,103,0.8706484898697713
Transponder AIS Maré Magnum,1,Motor de Popa Yamaha Mako 108HP,67,0.869626356546304
GPS Garmin Vortex Maré Drift,27,Motor de Popa Volvo Magnum 276HP,94,0.869626356546304
Radar Furuno Pulse Leviathan,3,Piloto Automático AIS Core,28,0.869626356546304
Motor Elétrico Torqeedo Velocity Swift 74HP,56,Motor de Popa Torqeedo Nautic Swift 223HP,65,0.8687219087128827
Piloto Automático Simrad Poseidon Magnum,50,Motor Diesel Yanmar Velocity 37HP,62,0.8684210526315788
Corrente Danforth Zenith Oceanic Torque,122,Boia de Arqueamento Danforth Torque,139,0.8680370799067412
GPS Furuno Swift Leviathan Poseidon,11,GPS Garmin Vortex Maré Drift,27,0.8680370799067412
GPS Furuno Swift Leviathan Poseidon,11,Cabo de Nylon Delta Force Magnum Leviathan,115,0.8680370799067412
Motor Diesel Tohatsu Evo Zenith 16HP,51,Cabo de Nylon Delta Force Magnum Leviathan,115,0.8680370799067412
Piloto Automático AIS Core,28,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8680370799067412
Piloto Automático AIS Core,28,Corrente Danforth Zenith Oceanic Torque,122,0.8680370799067412
Âncora Delta Swift,103,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8680370799067412
Motor Diesel Volvo Helix Evo Force 144HP,86,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8677218312746248
Rádio Lowrance Nitro Thrust Barracuda,25,Radar Furuno Swift,35,0.8675328468813834
Piloto Automático Furuno Core Boost Flux,26,Radar Furuno Swift,35,0.8675328468813834
GPS Furuno Current,45,Motor de Popa Torqeedo Nautic Swift 223HP,65,0.8661311391372271
Rádio Simrad Orca,29,Corrente Danforth Zenith Oceanic Torque,122,0.8658487179917629
Piloto Automático Simrad Poseidon Magnum,50,Âncora Delta Swift,103,0.8658487179917629
Motor Diesel Tohatsu Vector 197HP,77,Corrente Danforth Zenith Oceanic Torque,122,0.8658487179917629
GPS Furuno Swift Leviathan Poseidon,11,Motor Diesel Honda Zen Tidal Mako 26HP,52,0.8658487179917629
Motor Diesel Tohatsu Evo Zenith 16HP,51,Motor Diesel Tohatsu Vector 197HP,77,0.8658487179917629
Corrente Danforth Zenith Oceanic Torque,122,Boia de Arqueamento Bruce Barracuda,144,0.8658487179917629
Transponder AIS Vector,6,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8658487179917629
Radar Furuno Pulse Leviathan,3,Transponder AIS Vector,6,0.8651809126974006
Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,81,Corrente Danforth Force Leviathan Impulse,147,0.8651809126974006
Rádio Lowrance Nitro Thrust Barracuda,25,Âncora Bruce Aqua,119,0.8642633970683906
Motor de Popa Honda Torque 228HP,74,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8642633970683906
Piloto Automático AIS Core,28,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8642633970683906
Motor de Popa Volvo Hydro Dash 256HP,72,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8642633970683906
Radar AIS Marlin,20,Âncora Delta Swift,103,0.8641585652180933
Rádio AIS Oceanic Pulse,17,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8641585652180933
Âncora Delta Swift,103,Corrente Delta Boost,129,0.8641585652180933
Radar Furuno Swift,35,Motor Elétrico Yamaha Orca Storm Zenith 11HP,89,0.8624886920341295
Radar Furuno Swift,35,Cabo de Nylon Delta Velocity Core Mako,127,0.8624886920341295
Transponder AIS Helix Torque,34,Âncora Delta Hydra Kraken Velocity,143,0.8614435222839292
Rádio Lowrance Nitro Thrust Barracuda,25,Motor de Popa Volvo Maré 69HP,80,0.8613808062948378
Motor Diesel Yanmar Velocity 37HP,62,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8613808062948378
Radar Garmin Tidal Thrust,15,Piloto Automático Furuno Core Boost Flux,26,0.8613808062948378
Radar Garmin Tidal Thrust,15,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8613808062948378
Piloto Automático Furuno Core Boost Flux,26,GPS Furuno Magnum Drift,48,0.8613808062948378
Motor de Popa Volvo Hydro Dash 256HP,72,Boia de Arqueamento Delta Force Vox,118,0.8608284620211171
Transponder AIS Maré Magnum,1,GPS Simrad Zen Hydra Peak,44,0.8608284620211171
Transponder AIS Maré Magnum,1,Motor Diesel Honda Prime 84HP,61,0.8608284620211171
Radar Furuno Swift,35,Sonda Furuno Maré Tidal,40,0.860706876079547
GPS Furuno Swift Leviathan Poseidon,11,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8604651162790703
Motor Diesel Tohatsu Evo Zenith 16HP,51,Corrente Danforth Zenith Oceanic Torque,122,0.8604651162790703
GPS AIS Nautic Thrust,21,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8589556903873332
Rádio Lowrance Nitro Thrust Barracuda,25,GPS Lowrance Evo Storm Drift,37,0.8589556903873332
GPS AIS Zen,8,Cabo de Nylon Delta Force Magnum Leviathan,115,0.8577941541015607
Motor de Popa Torqeedo Core Hydra Flux 162HP,73,Cabo de Nylon Delta Force Magnum Leviathan,115,0.8577941541015607
Corrente Delta Axis,124,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8577941541015607
Motor Elétrico Yamaha Orca Storm Zenith 11HP,89,Boia de Arqueamento Danforth Torque,139,0.8577941541015607
Motor Diesel Honda Aero 205HP,76,Boia de Arqueamento Danforth Torque,139,0.8577941541015607
Motor Diesel Tohatsu Evo Zenith 16HP,51,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8573859148131735
Piloto Automático Furuno Core Boost Flux,26,Âncora Delta Swift,103,0.8573859148131735
Piloto Automático Furuno Core Boost Flux,26,Corrente Danforth Zenith Oceanic Torque,122,0.8573859148131735
Motor Diesel Parsun Velocity Abyss Orca 235HP,98,Corrente Danforth Zenith Oceanic Torque,122,0.8573859148131735
GPS Furuno Swift Leviathan Poseidon,11,Piloto Automático Furuno Core Boost Flux,26,0.8573859148131735
Motor de Popa Honda Torque 228HP,74,Âncora Delta Swift,103,0.8573859148131735
GPS Furuno Swift Leviathan Poseidon,11,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8573859148131735
Motor Diesel Honda Prime 84HP,61,Corrente Danforth Force Leviathan Impulse,147,0.857215150219116
Motor de Popa Volvo Maré 69HP,80,Corrente Danforth Tidal,112,0.857215150219116
Transponder Furuno Pulse Axis,31,Boia de Arqueamento Delta Force Vox,118,0.857215150219116
Motor de Popa Volvo Hydro Dash 256HP,72,Cabo de Nylon Danforth Magnum Vox,150,0.8552359741197578
Motor Diesel Tohatsu Evo Zenith 16HP,51,Corrente Danforth Tidal,112,0.8546760083846331
Boia de Arqueamento Delta Force Vox,118,Corrente Danforth Zenith Oceanic Torque,122,0.8546760083846331
GPS Furuno Swift Leviathan Poseidon,11,GPS Simrad Zen Hydra Peak,44,0.8546760083846331
Corrente Danforth Tidal,112,Corrente Danforth Zenith Oceanic Torque,122,0.8546760083846331
Corrente Danforth Zenith Oceanic Torque,122,Boia de Arqueamento Bruce Marlin Hydra,128,0.8546760083846331
GPS Simrad Zen Hydra Peak,44,Boia de Arqueamento Bruce Titan,108,0.8540168202937978
GPS AIS Drift Flux Vox,12,Motor de Popa Torqeedo Nautic Swift 223HP,65,0.8540168202937978
Motor de Popa Yamaha Mako 108HP,67,Boia de Arqueamento Bruce Marlin Hydra,128,0.8540168202937978
GPS Simrad Zen Hydra Peak,44,Sonda AIS Magnum Boost,46,0.8540168202937978
Motor Diesel Honda Prime 84HP,61,Boia de Arqueamento Danforth Aero Dash,111,0.8540168202937978
Transponder Garmin Drift Vortex Marlin,33,Radar Furuno Swift,35,0.8539125638299668
Piloto Automático AIS Core,28,Radar Furuno Swift,35,0.8539125638299668
GPS Garmin Vortex Maré Drift,27,Radar Furuno Swift,35,0.8539125638299668
Radar Furuno Swift,35,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8539125638299668
Rádio Lowrance Nitro Thrust Barracuda,25,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8536585365853664
Piloto Automático Furuno Core Boost Flux,26,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8536585365853664
Rádio Lowrance Nitro Thrust Barracuda,25,Motor de Popa Honda Torque 228HP,74,0.8536585365853664
Cabo de Nylon Delta Vortex,101,Boia de Arqueamento Delta Zen Boost Vortex,130,0.8534091953002633
Motor de Popa Parsun Impulse 162HP,85,Boia de Arqueamento Bruce Barracuda,144,0.8534091953002633
Motor de Popa Torqeedo Core Hydra Flux 162HP,73,Motor de Popa Volvo Maré 69HP,80,0.8534091953002633
Âncora Delta Swift,103,Âncora Danforth Vector Evo,142,0.852400757958631
Motor Diesel Tohatsu Evo Zenith 16HP,51,Âncora Danforth Impulse,137,0.852400757958631
Motor de Popa Torqeedo Zenith Peak Thrust 212HP,84,Âncora Delta Swift,103,0.852400757958631
Motor Diesel Tohatsu Evo Zenith 16HP,51,Cabo de Nylon Bruce Core,149,0.852400757958631
Motor de Popa Parsun Impulse 162HP,85,Âncora Delta Swift,103,0.852400757958631
Âncora Delta Swift,103,Cabo de Nylon Delta Velocity Oceanic Abyss,116,0.852400757958631
Corrente Danforth Zenith Oceanic Torque,122,Âncora Danforth Vector Evo,142,0.852400757958631
Transponder AIS Helix Torque,34,Âncora Delta Swift,103,0.852400757958631
Motor Diesel Honda Aero 205HP,76,Corrente Danforth Zenith Oceanic Torque,122,0.852400757958631
Âncora Delta Swift,103,Corrente Delta Axis,124,0.852400757958631
Âncora Delta Swift,103,Cabo de Nylon Delta Velocity Core Mako,127,0.852400757958631
GPS Furuno Swift Leviathan Poseidon,11,Âncora Danforth Nitro Titan Vox,106,0.8506397826736707
Piloto Automático Furuno Core Boost Flux,26,Motor de Popa Torqeedo Nautic Swift 223HP,65,0.8502657495766047
GPS Simrad Zen Hydra Peak,44,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8502657495766047
Motor Diesel Parsun Velocity Abyss Orca 235HP,98,Boia de Arqueamento Bruce Marlin Hydra,128,0.8502657495766047
Radar AIS Zen,7,Rádio Simrad Axis,18,0.8500331705159769
Transponder AIS Maré Magnum,1,GPS Garmin Vortex Maré Drift,27,0.8500000000000004
GPS Garmin Vortex Maré Drift,27,Cabo de Nylon Delta Force Magnum Leviathan,115,0.8500000000000004
Cabo de Nylon Delta Force Magnum Leviathan,115,Boia de Arqueamento Danforth Torque,139,0.8500000000000004
Âncora Bruce Aqua,119,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8500000000000004
Âncora Bruce Aqua,119,Boia de Arqueamento Danforth Torque,139,0.8500000000000004
GPS AIS Orca Marlin Velocity,24,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.849490997123038
Motor Elétrico Torqeedo Ion Orca Vox 186HP,63,Cabo de Nylon Danforth Evo Aqua Mako,109,0.8493947677443456
GPS Lowrance Evo Storm Drift,37,Motor de Popa Torqeedo Core Hydra Flux 162HP,73,0.8493947677443456
Motor de Popa Torqeedo Zenith Peak Thrust 212HP,84,Cabo de Nylon Bruce Flux Hydro,136,0.8493947677443456
Radar AIS Marlin,20,Motor de Popa Torqeedo Core Hydra Flux 162HP,73,0.8493947677443456
Transponder AIS Titan Pulse,9,Motor Elétrico Yamaha Orca Storm Zenith 11HP,89,0.8493947677443456
Radar Furuno Swift,35,Motor Diesel Parsun Boost Helix Velocity 146HP,70,0.8486684247915061
Rádio Lowrance Nitro Thrust Barracuda,25,Cabo de Nylon Danforth Evo Aqua Mako,109,0.8472686738391095
Piloto Automático Furuno Core Boost Flux,26,Transponder AIS Helix Torque,34,0.8472686738391095
Rádio Lowrance Nitro Thrust Barracuda,25,Motor Elétrico Torqeedo Velocity Swift 74HP,56,0.8472686738391095
Motor de Popa Honda Torque 228HP,74,Cabo de Nylon Delta Velocity Oceanic Abyss,116,0.8472686738391095
Piloto Automático Furuno Core Boost Flux,26,Motor de Popa Torqeedo Zenith Peak Thrust 212HP,84,0.8472686738391095
Sonda AIS Impulse Oceanic Zenith,32,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8472686738391095
Motor de Popa Honda Torque 228HP,74,Motor Elétrico Yamaha Orca Storm Zenith 11HP,89,0.8472686738391095
Rádio Lowrance Nitro Thrust Barracuda,25,Âncora Danforth Vector Evo,142,0.8472686738391095
Piloto Automático Furuno Core Boost Flux,26,Motor de Popa Parsun Impulse 162HP,85,0.8472686738391095
Motor Diesel Parsun Velocity Abyss Orca 235HP,98,Âncora Danforth Impulse,137,0.8472686738391095
Motor de Popa Honda Torque 228HP,74,Cabo de Nylon Bruce Core,149,0.8472686738391095
Transponder Lowrance Axis,42,Motor Diesel Honda Zen Tidal Mako 26HP,52,0.8471737420873573
Transponder Furuno Pulse Axis,31,Boia de Arqueamento Danforth Flux Tidal,120,0.8471737420873573
Radar Furuno Swift,35,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8471174496030207
Radar Furuno Swift,35,GPS Simrad Flow Pulse,41,0.8468097984399413
GPS Furuno Magnum Drift,48,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8464321404702527
GPS Garmin Vortex Maré Drift,27,Cabo de Nylon Danforth Titan Poseidon,135,0.8464321404702527
Rádio Simrad Axis,18,GPS Garmin Vortex Maré Drift,27,0.8464321404702527
Motor Diesel Yanmar Velocity 37HP,62,Motor de Popa Volvo Hydro Dash 256HP,72,0.8464321404702527
Transponder Garmin Drift Vortex Marlin,33,Boia de Arqueamento Delta Zen Boost Vortex,130,0.8464321404702527
Transponder Furuno Pulse Axis,31,Motor de Popa Volvo Hydro Dash 256HP,72,0.8464321404702527
Transponder AIS Maré Magnum,1,Radar Garmin Tidal Thrust,15,0.8464321404702527
Motor de Popa Volvo Hydro Dash 256HP,72,Boia de Arqueamento Bruce Nexus Abyss,141,0.8464321404702527
Motor Diesel Yanmar Velocity 37HP,62,Boia de Arqueamento Danforth Torque,139,0.8464321404702527
Motor de Popa Honda Vector Kinetic 174HP,57,Cabo de Nylon Delta Velocity Oceanic Abyss,116,0.8458258116519013
Motor de Popa Yamaha Thrust Marlin Nexus 182HP,90,Cabo de Nylon Bruce Flux Hydro,136,0.8451542547285166
Motor de Popa Torqeedo Ultra Impulse 292HP,69,Motor de Popa Tohatsu Boost Swift 126HP,96,0.8451542547285166
Motor Diesel Parsun Velocity Abyss Orca 235HP,98,Âncora Danforth Nitro Titan Vox,106,0.8447418837575277
Motor de Popa Honda Torque 228HP,74,Âncora Delta Hydra Kraken Velocity,143,0.8447418837575277
Transponder Furuno Marlin,2,Piloto Automático Furuno Core Boost Flux,26,0.8447418837575277
Transponder Furuno Marlin,2,Rádio Lowrance Nitro Thrust Barracuda,25,0.8447418837575277
Rádio Lowrance Nitro Thrust Barracuda,25,Motor de Popa Yamaha Thrust Marlin Nexus 182HP,90,0.8447418837575277
Rádio Lowrance Nitro Thrust Barracuda,25,Âncora Bruce Core Pulse,133,0.8447418837575277
Motor de Popa Honda Torque 228HP,74,Âncora Delta Force Barracuda Mako,148,0.8447418837575277
Motor Diesel Tohatsu Evo Zenith 16HP,51,Âncora Bruce Aqua,119,0.8439249387982206
Motor Diesel Tohatsu Evo Zenith 16HP,51,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8439249387982206
GPS Garmin Vortex Maré Drift,27,Corrente Danforth Zenith Oceanic Torque,122,0.8439249387982206
Âncora Bruce Aqua,119,Corrente Danforth Zenith Oceanic Torque,122,0.8439249387982206
Motor de Popa Volvo Hydro Dash 256HP,72,Âncora Delta Swift,103,0.8439249387982206
Âncora Delta Swift,103,Cabo de Nylon Delta Force Magnum Leviathan,115,0.8439249387982206
Transponder Garmin Drift Vortex Marlin,33,Corrente Danforth Zenith Oceanic Torque,122,0.8439249387982206
Âncora Delta Swift,103,Âncora Bruce Aqua,119,0.8439249387982206
GPS Garmin Vortex Maré Drift,27,Âncora Delta Swift,103,0.8439249387982206
Transponder Garmin Drift Vortex Marlin,33,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8439249387982206
Corrente Danforth Zenith Oceanic Torque,122,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8439249387982206
GPS Furuno Swift Leviathan Poseidon,11,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8439249387982206
Âncora Delta Swift,103,Boia de Arqueamento Danforth Torque,139,0.8439249387982206
GPS Furuno Swift Leviathan Poseidon,11,Transponder Garmin Drift Vortex Marlin,33,0.8439249387982206
GPS Furuno Swift Leviathan Poseidon,11,Boia de Arqueamento Danforth Torque,139,0.8439249387982206
GPS Garmin Vortex Maré Drift,27,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8439249387982206
Transponder Garmin Drift Vortex Marlin,33,Âncora Delta Swift,103,0.8439249387982206
Radar Furuno Swift,35,Motor de Popa Honda Torque 228HP,74,0.8434347122457895
Transponder AIS Maré Magnum,1,Boia de Arqueamento Danforth Aero Dash,111,0.8432740427115676
GPS Garmin Vortex Maré Drift,27,Boia de Arqueamento Danforth Aero Dash,111,0.8432740427115676
Transponder AIS Titan Pulse,9,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8432740427115676
Motor Elétrico Torqeedo Ion Orca Vox 186HP,63,Boia de Arqueamento Danforth Torque,139,0.8432740427115676
GPS Lowrance Evo Storm Drift,37,Boia de Arqueamento Danforth Torque,139,0.8432740427115676
GPS AIS Nautic Thrust,21,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8432740427115676
Transponder AIS Maré Magnum,1,Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,81,0.8432740427115676
GPS Garmin Vortex Maré Drift,27,Motor de Popa Yamaha Mako 108HP,67,0.8432740427115676
Boia de Arqueamento Danforth Tidal Zen Swift,114,Boia de Arqueamento Danforth Torque,139,0.8432740427115676
Transponder AIS Maré Magnum,1,GPS Lowrance Evo Storm Drift,37,0.8432740427115676
GPS AIS Drift Flux Vox,12,Motor de Popa Volvo Hydro Dash 256HP,72,0.8432740427115676
Piloto Automático AIS Core,28,Cabo de Nylon Bruce Flux Hydro,136,0.8432740427115676
Piloto Automático AIS Core,28,Corrente Delta Boost,129,0.8432740427115676
Boia de Arqueamento Bruce Marlin Hydra,128,Âncora Danforth Vector Evo,142,0.8423970023882499
GPS Simrad Zen Hydra Peak,44,Boia de Arqueamento Danforth Core Vortex,131,0.8423970023882499
Sonda AIS Impulse Oceanic Zenith,32,Boia de Arqueamento Delta Force Vox,118,0.8423970023882499
Motor Diesel Yanmar Hydro Magnum Boost 267HP,59,Corrente Danforth Tidal,112,0.8423970023882499
Transponder AIS Vector,6,Motor Diesel Tohatsu Vector 197HP,77,0.8421052631578946
Transponder AIS Vector,6,Motor Diesel Honda Zen Tidal Mako 26HP,52,0.8421052631578946
Rádio Simrad Axis,18,Âncora Delta Swift,103,0.8411101831919983
GPS Furuno Magnum Drift,48,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8411101831919983
Motor Diesel Yanmar Velocity 37HP,62,Corrente Danforth Zenith Oceanic Torque,122,0.8411101831919983
Motor Diesel Tohatsu Evo Zenith 16HP,51,Boia de Arqueamento Bruce Barracuda,144,0.8411101831919983
Âncora Delta Swift,103,Boia de Arqueamento Bruce Barracuda,144,0.8411101831919983
Âncora Delta Swift,103,Boia de Arqueamento Delta Zen Boost Vortex,130,0.8411101831919983
Rádio Simrad Orca,29,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8411101831919983
GPS Furuno Swift Leviathan Poseidon,11,Motor Diesel Tohatsu Vector 197HP,77,0.8411101831919983
Radar Garmin Tidal Thrust,15,Corrente Danforth Zenith Oceanic Torque,122,0.8411101831919983
Transponder Furuno Pulse Axis,31,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8411101831919983
Transponder Furuno Pulse Axis,31,Corrente Danforth Zenith Oceanic Torque,122,0.8411101831919983
GPS Furuno Swift Leviathan Poseidon,11,Radar Garmin Tidal Thrust,15,0.8411101831919983
GPS Furuno Swift Leviathan Poseidon,11,Rádio Simrad Axis,18,0.8411101831919983
Radar Garmin Tidal Thrust,15,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8411101831919983
Motor Diesel Tohatsu Evo Zenith 16HP,51,Motor de Popa Volvo Maré 69HP,80,0.8411101831919983
GPS Furuno Swift Leviathan Poseidon,11,Piloto Automático Simrad Poseidon Magnum,50,0.8411101831919983
Motor de Popa Volvo Maré 69HP,80,Âncora Delta Swift,103,0.8411101831919983
Motor Elétrico Yamaha Nautic Kraken 133HP,92,Âncora Danforth Nitro Titan Vox,106,0.8406680016960499
Rádio Simrad Tidal Aqua,47,Motor de Popa Volvo Hydro Dash 256HP,72,0.8406055240472927
Piloto Automático Furuno Core Boost Flux,26,Piloto Automático AIS Core,28,0.8395701571521509
Piloto Automático Furuno Core Boost Flux,26,Transponder Garmin Drift Vortex Marlin,33,0.8395701571521509
Transponder AIS Maré Magnum,1,Motor Diesel Parsun Velocity Abyss Orca 235HP,98,0.8395701571521509
GPS Garmin Vortex Maré Drift,27,Motor de Popa Honda Torque 228HP,74,0.8395701571521509
Motor de Popa Honda Torque 228HP,74,Âncora Bruce Aqua,119,0.8395701571521509
Rádio Lowrance Nitro Thrust Barracuda,25,Transponder Garmin Drift Vortex Marlin,33,0.8395701571521509
Rádio Lowrance Nitro Thrust Barracuda,25,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8395701571521509
Piloto Automático Furuno Core Boost Flux,26,Boia de Arqueamento Danforth Torque,139,0.8395701571521509
Corrente Danforth Hydro,126,Boia de Arqueamento Bruce Marlin Hydra,128,0.8390645410391887
Motor Diesel Honda Prime 84HP,61,Cabo de Nylon Delta Zen Vortex Storm,104,0.8390645410391887
Motor de Popa Torqeedo Nautic Swift 223HP,65,Âncora Danforth Nitro Titan Vox,106,0.8390645410391887
Radar Furuno Pulse Leviathan,3,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8387421368293259
GPS Furuno Swift Leviathan Poseidon,11,Transponder Furuno Force Ion,22,0.8387421368293259
Motor de Popa Yamaha Mako 108HP,67,Corrente Danforth Zenith Oceanic Torque,122,0.8387421368293259
GPS Furuno Vector,39,Corrente Danforth Zenith Oceanic Torque,122,0.8387421368293259
GPS Furuno Swift Leviathan Poseidon,11,Boia de Arqueamento Danforth Aero Dash,111,0.8387421368293259
Âncora Delta Swift,103,Cabo de Nylon Danforth Kinetic,125,0.8387421368293259
GPS Furuno Swift Leviathan Poseidon,11,Transponder AIS Boost,30,0.8387421368293259
Boia de Arqueamento Danforth Tidal Zen Swift,114,Corrente Danforth Zenith Oceanic Torque,122,0.8387421368293259
Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,81,Âncora Delta Swift,103,0.8387421368293259
GPS Lowrance Evo Storm Drift,37,Âncora Delta Swift,103,0.8387421368293259
Motor Elétrico Torqeedo Pulse 300HP,71,Âncora Delta Swift,103,0.8387421368293259
Sonda AIS Magnum Boost,46,Corrente Danforth Zenith Oceanic Torque,122,0.8387421368293259
Motor Diesel Tohatsu Evo Zenith 16HP,51,Corrente Delta Boost,129,0.8387421368293259
Piloto Automático Furuno Torque Peak,23,Âncora Delta Swift,103,0.8387421368293259
